	palavras       Freq
	aberto	        1
	aceso	        1
	afro	        1
	água	        1
	alto	        2
	amarrada	2
	amarrado	1
	ancestrais	2
	animal	        2
	antiga	        2
	antigas	        2
	antigo	        1
	antigos	        1
	arrasa	        1
	arriado	        1
	assobiava	1
	atento	        1
	ativa	        1
	audiovisual	1
	azul	        8
	Azul	        2
	bacana	        2
	baixo	        1
	benzedeiras	1
	bichinho	1
	bico	        1
	boa	        5
	bom	       13
	bonita	        2
	bonito	        1
	bota	        3
	botar	        1
	botava	        3
	branca	        2
	brasileiro	1
	caçar	        1
	cadeira	        2
	cantos	        1
	carimbadas	1
	caroço	        1
	católico	1
	cavalo	        1
	cerâmica	1
        certo	        8
	chamado	        1
	chato	        2
	cheia	        1
	cheio	        2
	cheiroso	1
	chuvoso	        1
	cigana	        1
	claro	        1
	co	        1
	colares	        1
	coloco	        1
	comida	        1
	comuns	        1
	concretos	1
	cotidiana	1
	cravo	        1
	criança	        2
	cru	        1
	culturais	3
	cura	        2
	curaca	        1
	data	        1
	decorativos	1
	delicados	1
	dependente	1
	determinado	1
	determinantes	1
 	diferencial	1
	diferente	5
	difícil	        4
	dinâmica	1
	direita	        1
	diversas	1
	diversos	1
	duro	        1
	embaixo	        1
	emocionante	1
	enfermeiro	1
	errada	        1
	espiritual	1
	esquenta	1
	estressada	1
	ética	        1
	evangélicas	1
	evangélico	2
	existente	1
	fácil	        3
	fechada	        1
	fechado	        1
	feia	        1
	feliz	        1
	ferrenha	1
	fico	        1
	Fico	        1
	final	        3
	finos	        1
	físico	        1
	físicos	        1
	focal	        1
	forte	        8
	fraco	        1
	fruta	        1
	futura	        1
	gay	        1
	genealógica	1
	geral	        1
	gira	        1
	gordinho	1
	gostosa	        1
	gostoso	        1
	gráfico	        1
	grande	        5
	grávida	        1
	gulosinho	1
	habilidosos	1
	humano	        2
	identifico	1
	igual	        3
	importante	2
	incapaz	        1
	independente	2
	indicativo	2
	indígena	6
	indígenas	2
	individuais	1
	inferior	1
	inglesa	        1
	inspetor	1
	instrumento	1
	insuportável	1
	interessante	3
	interno	        1
	jerimum	        2
	jovem	        3
	jovens	        2
	justo	        1
	larga	        1
	lava	        1
	ligeiro	        2
	lindas	        1
	literaturas	1
	livre	        1
	livros	        1
	locais	        3
	madura	        2
	mãe	        5
	maior	        2
	maluco	        1
	manual	        1
	mato	        2
	mau	        1
	medicinais	1
	meia	        2
	meio	        3
	menino	        1
	mentira	        1
	mesma	        5
	mesmo	        5
	mestra	        1
	mestre	        1
	mina	        1
	moça	        1
	mole	        1
	morto	        1
	naturais	1
	natural	        3
	navio	        1
	negativa	1
	neta	        1
	normal	        2
	nosco	        1
	nova	        1
	ó	        2
	observa	        1
	óbvio	        1
	olha	        1
	oposto	        1
	organizada	1
	originário	1
	painho	        1
	parceiro	1
	parteiras	1
	passei	        2
	pastoril	1
 	pega		1
	pequena	        2
	pequeno	        2
	perdido	        2
	pertinho	2
	planta	        1
	plena	        1
	pô	        2
	político	1
	positiva	1
	possíveis	1
	pote	        1
	preciso	        1
	presente	3
	preto	        2
	primeira	2
	primeiras	1
	pro	        3
	professoras	1
	pronta	        1
	pronto	        5
	própria	        1
	próprio	        3
	protegido	1
	próxima	        3
	próximos	1
	quarto	        2
	quietinho	1
	real	        1
	resistente	1
	ruim	        1
	sagrado	        1
	sakuya	        1
	sereia	        1
	sério	        2
	símbolos	1
	simples	        3
	sozinho	        1
	sul	        1
	Taquara	        1
	tia	        1
	tira	        1
	tudinho	        1
	última	        1
	último	        1
	vaqueiras	1
	velha	        2
	velhos   	1
	vermelha	5
	vermelho	1
	viva	        4
