"Var1"	"Freq"
"1"	"a"	1
"2"	"abelho"	4
"3"	"abertura"	1
"4"	"abre"	1
"5"	"abundante"	1
"6"	"acampa"	1
"7"	"ação"	2
"8"	"acaso"	1
"9"	"acer"	1
"10"	"acervo"	1
"11"	"acesso"	2
"12"	"acordo"	2
"13"	"açúcar"	2
"14"	"adivinhação"	1
"15"	"administrador"	1
"16"	"afogado"	1
"17"	"africano"	1
"18"	"agradecimento"	1
"19"	"agradeço"	1
"20"	"agricultura"	2
"21"	"água"	13
"22"	"aí"	2
"23"	"ajuda"	3
"24"	"aldeia"	1
"25"	"além"	1
"26"	"algum"	1
"27"	"ali"	1
"28"	"aliandra"	1
"29"	"alimento"	4
"30"	"almoço"	6
"31"	"alvenaria"	1
"32"	"amarelo"	1
"33"	"amigo"	2
"34"	"ancestral"	2
"35"	"anda"	1
"36"	"anelzinho"	1
"37"	"angústia"	1
"38"	"animal"	3
"39"	"ano"	13
"40"	"antepassado"	8
"41"	"aprendizagem"	1
"42"	"apresentação"	1
"43"	"ar"	1
"44"	"arco"	1
"45"	"área"	5
"46"	"areia"	2
"47"	"argolinha"	1
"48"	"arma"	1
"49"	"armário"	1
"50"	"aroeira"	1
"51"	"arrematação"	1
"52"	"artesana"	1
"53"	"artesanato"	17
"54"	"artesanatos"	1
"55"	"árvore"	8
"56"	"assoreamento"	1
"57"	"atenção"	1
"58"	"atividade"	3
"59"	"avaliação"	1
"60"	"ave"	1
"61"	"aveia"	1
"62"	"avó"	3
"63"	"avô"	2
"64"	"bairro"	1
"65"	"baixo"	1
"66"	"balé"	1
"67"	"banana"	1
"68"	"bandista"	1
"69"	"banha"	2
"70"	"banho"	2
"71"	"barato"	1
"72"	"barquinho"	1
"73"	"barra"	5
"74"	"barraca"	1
"75"	"barriga"	1
"76"	"barro"	1
"77"	"Barro"	1
"78"	"barulho"	1
"79"	"base"	2
"80"	"batido"	1
"81"	"batom"	1
"82"	"beiço"	3
"83"	"beira"	2
"84"	"beira-mar"	1
"85"	"benção"	1
"86"	"Benzedor"	1
