"Var1"	"Freq"
"1"	"5:30"	1
"2"	"abelho"	1
"3"	"aborrecimento"	1
"4"	"ação"	1
"5"	"acaso"	1
"6"	"acordo"	1
"7"	"adereço"	1
"8"	"afogar"	1
"9"	"agradecer"	1
"10"	"água"	6
"11"	"álcool"	1
"12"	"aldeia"	3
"13"	"alegria"	1
"14"	"alma"	2
"15"	"almoço"	1
"16"	"alta"	1
"17"	"ameguir"	1
"18"	"amigo"	1
"19"	"amor"	2
"20"	"andamento"	1
"21"	"andar"	1
"22"	"animal"	1
"23"	"ano"	7
"24"	"antibiótico"	1
"25"	"antiga"	2
"26"	"apaixonada"	2
"27"	"aperriar"	1
"28"	"aqui"	1
"29"	"ar"	1
"30"	"arco"	5
"31"	"área"	1
"32"	"argila"	1
"33"	"arma"	2
"34"	"armadilha"	1
"35"	"arquitetura"	1
"36"	"arrependimento"	1
"37"	"arte"	1
"38"	"artesã"	1
"39"	"artesanato"	9
"40"	"artesão"	1
"41"	"artesiano"	1
"42"	"árvore"	4
"43"	"assobio"	2
"44"	"assunto"	1
"45"	"astro"	2
"46"	"autora"	1
"47"	"autorização"	1
"48"	"avançar"	1
"49"	"ave"	1
"50"	"avesso"	1
"51"	"avó"	2
"52"	"b"	1
"53"	"bagunça"	1
"54"	"baile"	1
"55"	"baixinho"	1
"56"	"bajara"	1
"57"	"balanço"	1
"58"	"bananeira"	1
"59"	"banho"	2
"60"	"barra"	1
"61"	"Barra"	1
"62"	"barraca"	1
"63"	"barriga"	9
"64"	"barro"	2
"65"	"batom"	1
"66"	"bebê"	1
"67"	"beirada"	1
"68"	"belezo"	1
"69"	"bem"	1
"70"	"bendito"	3
"71"	"benefício"	1
"72"	"Benito"	1
"73"	"bicha"	1
"74"	"bicho"	9
"75"	"boca"	3
"76"	"bolo"	1
"77"	"bolsa"	2
"78"	"bolsinho"	1
"79"	"bora"	1
"80"	"borar"	1
"81"	"botar"	1
"82"	"botija"	8
"83"	"bracelete"	2
"84"	"braço"	1
"85"	"briga"	1
"86"	"briguinha"	1
"87"	"bronze"	1
"88"	"buraco"	2
"89"	"busca"	1
"90"	"c"	1
"91"	"cabeça"	10
"92"	"cabelo"	3
"93"	"cabô"	1
"94"	"caboclo"	1
"95"	"cachaça"	1
"96"	"cachorra"	2
"97"	"cachorrinho"	1
"98"	"cachorro"	7
