"Var1"	"Freq"
"1"	"6:10"	1
"2"	"abismo"	1
"3"	"acadêmico"	1
"4"	"aceitação"	1
"5"	"acender"	1
"6"	"acessório"	1
"7"	"acho"	1
"8"	"acordo"	2
"9"	"adorno"	1
"10"	"agricultura"	1
"11"	"água"	10
"12"	"ah"	1
"13"	"aí"	1
"14"	"aldeia"	7
"15"	"aliança"	2
"16"	"alimento"	1
"17"	"alm"	1
"18"	"alma"	1
"19"	"alumínio"	1
"20"	"alvenaria"	1
"21"	"ambiente"	1
"22"	"amiga"	1
"23"	"amigo"	3
"24"	"amizade"	2
"25"	"amor"	3
"26"	"ancestral"	1
"27"	"anelzinho"	1
"28"	"animal"	9
"29"	"ano"	6
"30"	"anta"	1
"31"	"antepassado"	1
"32"	"anti-inflamatório"	5
"33"	"anzol"	1
"34"	"apoio"	2
"35"	"apresentação"	1
"36"	"arapuca"	1
"37"	"área"	1
"38"	"areia"	2
"39"	"arma"	1
"40"	"aroeira"	1
"41"	"arrastão"	1
"42"	"arrematação"	1
"43"	"arrepiar"	1
"44"	"arte"	3
"45"	"artesanato"	13
"46"	"artesão"	1
"47"	"artigo"	1
"48"	"árvore"	3
"49"	"assembleia"	1
"50"	"assovio"	1
"51"	"assunto"	1
"52"	"ataque"	1
"53"	"atenção"	1
"54"	"atualidade"	1
"55"	"au"	1
"56"	"auditório"	2
"57"	"aula"	1
"58"	"avó"	2
"59"	"avô"	2
"60"	"azulão"	1
"61"	"babatenon"	1
"62"	"bacana"	1
"63"	"bagacei"	1
"64"	"baixo"	1
"65"	"balançado"	1
"66"	"bandeira"	10
"67"	"banheiro"	1
"68"	"banho"	1
"69"	"barco"	1
"70"	"barra"	3
"71"	"barraca"	1
"72"	"barreira"	1
"73"	"barro"	2
"74"	"barulho"	1
"75"	"batata"	2
"76"	"batedor"	1
"77"	"baú"	1
"78"	"bebê"	2
"79"	"bebia"	1
"80"	"bebida"	3
"81"	"beijinho"	1
"82"	"beira"	4
"83"	"beleza"	1
"84"	"belíssimo"	1
"85"	"bera"	1
"86"	"besteira"	1
"87"	"biblioteca"	1
"88"	"bicha"	1
"89"	"bichinha"	1
"90"	"bichinho"	2
"91"	"bicho"	5
"92"	"biodiversidade"	1
"93"	"bisavó"	1
"94"	"biscoito"	1
"95"	"boca"	5
"96"	"bodo"	1
"97"	"bola"	1
"98"	"bolada"	1
"99"	"bolo"	1
"100"	"bomba"	1
"101"	"bondade"	1
"102"	"bordona"	1
"103"	"bota"	4
"104"	"botão"	1
